Time,Values
0.454,0.12031537
0.4545,0.124007904
0.455,0.113676211
0.4555,0.09873398
0.456,0.079005933
0.4565,0.064966425
0.457,0.045983596
0.4575,0.018399248
0.458,0.003679674
0.4585,0.016411799
0.459,0.022292807
0.4595,0.01953935
0.46,0.009278272
0.4605,-0.00973841
0.461,-0.047312985
0.4615,-0.089747601
0.462,-0.132563377
0.4625,-0.150826784
0.463,-0.14307984
0.4635,-0.124551611
0.464,-0.11995891
0.4645,-0.123967112
0.465,-0.134122784
0.4655,-0.139526503
0.466,-0.131375781
0.4665,-0.098928976
0.467,-0.064304016
0.4675,-0.032771683
0.468,-0.01094938
0.4685,0.000464444
0.469,0.003294283
0.4695,0.009790223
0.47,0.013909464
0.4705,0.01250049
0.471,-0.001352231
0.4715,0.001396725
0.472,0.031894345
0.4725,0.06626546
0.473,0.080796198
0.4735,0.080212922
0.474,0.069821087
0.4745,0.060849894
0.475,0.049659936
0.4755,0.033163398
0.476,0.013117705
0.4765,0.003611919
0.477,-0.004209706
0.4775,-0.022536685
0.478,-0.055640142
0.4785,-0.088599013
0.479,-0.111355532
0.4795,-0.117603299
0.48,-0.11068717
0.4805,-0.100100131
0.481,-0.104368
0.4815,-0.126200343
0.482,-0.158523511
0.4825,-0.175241996
0.483,-0.163802971
0.4835,-0.134519275
0.484,-0.112546441
0.4845,-0.10943227
0.485,-0.090184474
0.4855,-0.03383236
0.486,0.033739306
0.4865,0.088750248
0.487,0.124168378
0.4875,0.143361633
0.488,0.168591882
0.4885,0.203633913
0.489,0.224029491
0.4895,0.21605198
0.49,0.193532403
0.4905,0.171688174
0.491,0.149542475
0.4915,0.131031651
0.492,0.111819051
0.4925,0.093790287
0.493,0.081324455
0.4935,0.076944331
0.494,0.067882411
0.4945,0.038071823
0.495,-0.010232843
0.4955,-0.058193714
0.496,-0.083962091
0.4965,-0.092343642
0.497,-0.095423025
0.4975,-0.095471638
0.498,-0.085930106
0.4985,-0.045281654
0.499,0.016102041
0.4995,0.048962981
0.5,0.048434579
0.5005,0.039507333
0.501,0.03203351
0.5015,0.025815733
0.502,0.021258979
0.5025,0.009731297
0.503,0.001869143
0.5035,0.010517795
0.504,0.027613392
0.5045,0.029877822
0.505,0.020039149
0.5055,0.012774055
0.506,0.016229794
0.5065,0.017335467
0.507,0.014821087
0.5075,0.00577681
0.508,-0.00898165
0.5085,-0.038728516
0.509,-0.067486574
0.5095,-0.083761765
0.51,-0.094834584
0.5105,-0.112039302
0.511,-0.132518675
0.5115,-0.161200675
0.512,-0.165474602
0.5125,-0.132252116
0.513,-0.085855137
0.5135,-0.060124497
0.514,-0.053262884
0.5145,-0.060203453
0.515,-0.052966665
0.5155,-0.032892985
0.516,-0.007103394
0.5165,0.012366314
0.517,0.043195082
0.5175,0.07941081
0.518,0.112656492
0.5185,0.131332112
0.519,0.147678848
0.5195,0.157776723
0.52,0.164685635
0.5205,0.161287861
0.521,0.157147964
0.5215,0.14007187
0.522,0.112577999
0.5225,0.079080589
0.523,0.067830452
0.5235,0.066877136
0.524,0.068982823
0.5245,0.053081666
0.525,0.021917121
0.5255,0.000361183
0.526,0.013259681
0.5265,0.014046552
0.527,0.000580524
0.5275,-0.01688052
0.528,-0.018930146
0.5285,-0.02371509
0.529,-0.030907673
0.5295,-0.047792079
0.53,-0.055842268
0.5305,-0.056893038
0.531,-0.04987004
0.5315,-0.057730977
0.532,-0.062317262
0.5325,-0.058535216
0.533,-0.038322315
0.5335,-0.014920102
0.534,0.022224057
0.5345,0.064920223
0.535,0.100337514
0.5355,0.107455659
0.536,0.090812693
0.5365,0.061270466
0.537,0.028680791
0.5375,-0.003545471
0.538,-0.025616313
0.5385,-0.05021013
0.539,-0.056510801
0.5395,-0.042605243
0.54,-0.025891091
0.5405,-0.014887156
0.541,-0.004622826
0.5415,-0.003938625
0.542,-0.006900102
0.5425,-0.013142334
0.543,-0.035264079
0.5435,-0.071424123
0.544,-0.100978182
0.5445,-0.116571257
0.545,-0.130994567
0.5455,-0.153983984
0.546,-0.169122749
0.5465,-0.157173636
0.547,-0.123110565
0.5475,-0.088338275
0.548,-0.079453458
0.5485,-0.096045385
0.549,-0.112999174
0.5495,-0.106054862
0.55,-0.069221118
0.5505,-0.004534603
0.551,0.06778807
0.5515,0.125338576
0.552,0.139185478
0.5525,0.137532622
0.553,0.148447228
0.5535,0.167130794
0.554,0.169722087
0.5545,0.154565205
0.555,0.125626424
0.5555,0.10329019
0.556,0.087869578
0.5565,0.084402078
0.557,0.100856164
0.5575,0.139584057
0.558,0.1571868
0.5585,0.123660671
0.559,0.044256161
0.5595,-0.037209566
0.56,-0.096862148
0.5605,-0.12266054
0.561,-0.126326142
0.5615,-0.110504257
0.562,-0.078857276
0.5625,-0.028995773
0.563,0.02022091
0.5635,0.052039549
0.564,0.051073941
0.5645,0.029428853
0.565,-0.010800242
0.5655,-0.065851667
0.566,-0.094705739
0.5665,-0.068940996
0.567,-0.018571687
0.5675,0.026845095
0.568,0.051382163
0.5685,0.042399149
0.569,0.00695505
0.5695,-0.030245372
0.57,-0.051528955
0.5705,-0.048473054
0.571,-0.021667937
0.5715,0.005136726
0.572,0.013909518
0.5725,0.007614788
0.573,0.004835063
0.5735,0.002854966
0.574,-0.005740945
0.5745,-0.029667144
0.575,-0.057322835
0.5755,-0.088898919
0.576,-0.122141086
0.5765,-0.157480642
0.577,-0.171781031
0.5775,-0.164914584
0.578,-0.148669141
0.5785,-0.144995302
0.579,-0.158833474
0.5795,-0.166753965
0.58,-0.137670299
0.5805,-0.087981067
0.581,-0.021732596
0.5815,0.05304291
0.582,0.120194483
0.5825,0.166177003
0.583,0.194325612
0.5835,0.19446812
0.584,0.180096984
0.5845,0.161798431
0.585,0.143989982
0.5855,0.110396084
0.586,0.074992481
0.5865,0.048374801
0.587,0.039172568
0.5875,0.038033274
0.588,0.050361774
0.5885,0.073816308
0.589,0.100778372
0.5895,0.118917701
0.59,0.131575418
0.5905,0.133429339
0.591,0.115451625
0.5915,0.079154038
0.592,0.045301416
0.5925,0.0036139
0.593,-0.030132072
0.5935,-0.04817461
0.594,-0.052430735
0.5945,-0.047421497
0.595,-0.023318895
0.5955,-0.004787904
0.596,-0.008254449
0.5965,-0.044437007
0.597,-0.088851111
0.5975,-0.119597001
0.598,-0.107806569
0.5985,-0.073527344
0.599,-0.044092791
0.5995,-0.037365123
0.6,-0.037673523
0.6005,-0.046070646
0.601,-0.042337423
0.6015,-0.02114493
0.602,0.01578026
0.6025,0.038775027
0.603,0.042393737
0.6035,0.029739058
0.604,0.03222727
0.6045,0.041606102
0.605,0.054865458
0.6055,0.049692067
0.606,0.039897611
0.6065,0.043690778
0.607,0.079704884
0.6075,0.101679997
0.608,0.102106792
0.6085,0.079339932
0.609,0.054219532
0.6095,0.03151251
0.61,0.030921574
0.6105,0.023230152
0.611,0.010562922
0.6115,-0.009880935
0.612,-0.033190675
0.6125,-0.079684623
0.613,-0.126036163
0.6135,-0.153323991
0.614,-0.136373043
0.6145,-0.093134419
0.615,-0.046468746
0.6155,-0.03078493
0.616,-0.037780747
0.6165,-0.052662944
0.617,-0.045395884
0.6175,-0.020912427
0.618,0.003307402
0.6185,0.001612701
0.619,-0.014899038
0.6195,-0.042634306
0.62,-0.039378822
0.6205,-0.014716563
0.621,0.006968301
0.6215,0.013585846
0.622,0.027274315
0.6225,0.028903258
0.623,0.028543563
0.6235,0.028431118
0.624,0.04193991
0.6245,0.062480366
0.625,0.097656609
0.6255,0.1192228
0.626,0.115987829
0.6265,0.085903441
0.627,0.050401774
0.6275,0.009628755
0.628,-0.028778832
0.6285,-0.067802966
0.629,-0.083168531
0.6295,-0.070289091
0.63,-0.028945623
0.6305,0.010376023
0.631,0.030469915
0.6315,0.017120692
0.632,-0.00344161
0.6325,-0.015366863
0.633,-0.011861502
0.6335,0.009335267
0.634,0.052271446
0.6345,0.08616614
0.635,0.112256848
0.6355,0.11998018
0.636,0.112480428
