,Time,Values
330,0.165,1.295210166
331,0.1655,1.314760508
332,0.166,1.314760508
333,0.1665,1.300097752
334,0.167,1.270772239
335,0.1675,1.251221896
336,0.168,1.290322581
337,0.1685,1.33431085
338,0.169,1.33431085
339,0.1695,1.329423265
340,0.17,1.314760508
341,0.1705,1.285434995
342,0.171,1.275659824
343,0.1715,1.270772239
344,0.172,1.256109482
345,0.1725,1.246334311
346,0.173,1.246334311
347,0.1735,1.23655914
348,0.174,1.212121212
349,0.1745,1.177908113
350,0.175,1.153470186
351,0.1755,1.143695015
352,0.176,1.133919844
353,0.1765,1.129032258
354,0.177,1.138807429
355,0.1775,1.158357771
356,0.178,1.182795699
357,0.1785,1.212121212
358,0.179,1.256109482
359,0.1795,1.300097752
360,0.18,1.329423265
361,0.1805,1.329423265
362,0.181,1.314760508
363,0.1815,1.33431085
364,0.182,1.358748778
365,0.1825,1.339198436
366,0.183,1.33431085
367,0.1835,1.324535679
368,0.184,1.290322581
369,0.1845,1.265884653
370,0.185,1.256109482
371,0.1855,1.231671554
372,0.186,1.226783969
373,0.1865,1.246334311
374,0.187,1.265884653
375,0.1875,1.265884653
376,0.188,1.246334311
377,0.1885,1.226783969
378,0.189,1.212121212
379,0.1895,1.207233627
380,0.19,1.221896383
381,0.1905,1.231671554
382,0.191,1.212121212
383,0.1915,1.173020528
384,0.192,1.138807429
385,0.1925,1.119257087
386,0.193,1.10459433
387,0.1935,1.094819159
388,0.194,1.089931574
389,0.1945,1.099706745
390,0.195,1.143695015
391,0.1955,1.168132942
392,0.196,1.177908113
393,0.1965,1.212121212
394,0.197,1.246334311
395,0.1975,1.246334311
396,0.198,1.231671554
397,0.1985,1.212121212
398,0.199,1.197458456
399,0.1995,1.217008798
400,0.2,1.246334311
401,0.2005,1.260997067
402,0.201,1.251221896
403,0.2015,1.241446725
404,0.202,1.231671554
405,0.2025,1.231671554
406,0.203,1.256109482
407,0.2035,1.28054741
408,0.204,1.304985337
409,0.2045,1.329423265
410,0.205,1.329423265
411,0.2055,1.300097752
412,0.206,1.275659824
413,0.2065,1.256109482
414,0.207,1.251221896
415,0.2075,1.23655914
416,0.208,1.217008798
417,0.2085,1.241446725
418,0.209,1.260997067
419,0.2095,1.241446725
420,0.21,1.265884653
421,0.2105,1.295210166
422,0.211,1.28054741
423,0.2115,1.251221896
424,0.212,1.241446725
425,0.2125,1.251221896
426,0.213,1.275659824
427,0.2135,1.304985337
428,0.214,1.314760508
429,0.2145,1.314760508
430,0.215,1.304985337
431,0.2155,1.295210166
432,0.216,1.285434995
433,0.2165,1.275659824
434,0.217,1.246334311
435,0.2175,1.207233627
436,0.218,1.168132942
437,0.2185,1.153470186
438,0.219,1.168132942
439,0.2195,1.153470186
440,0.22,1.089931574
441,0.2205,1.055718475
442,0.221,1.065493646
443,0.2215,1.085043988
444,0.222,1.129032258
445,0.2225,1.153470186
446,0.223,1.133919844
447,0.2235,1.153470186
448,0.224,1.197458456
449,0.2245,1.217008798
450,0.225,1.217008798
451,0.2255,1.217008798
452,0.226,1.212121212
453,0.2265,1.226783969
454,0.227,1.260997067
455,0.2275,1.300097752
456,0.228,1.329423265
457,0.2285,1.358748778
458,0.229,1.368523949
459,0.2295,1.353861193
460,0.23,1.33431085
461,0.2305,1.33431085
462,0.231,1.339198436
463,0.2315,1.339198436
464,0.232,1.33431085
