Time,Values
0.3955,-0.002973081
0.396,-0.007606363
0.3965,-0.012309667
0.397,-0.013966866
0.3975,-0.015651418
0.398,-0.01538834
0.3985,-0.020584443
0.399,-0.027280675
0.3995,-0.037348372
0.4,-0.038460008
0.4005,-0.039211708
0.401,-0.044834051
0.4015,-0.054116575
0.402,-0.048999233
0.4025,-0.040108868
0.403,-0.032117258
0.4035,-0.031220875
0.404,-0.027081051
0.4045,-0.024853354
0.405,-0.022663857
0.4055,-0.02671297
0.406,-0.030085993
0.4065,-0.027759077
0.407,-0.016367751
0.4075,-0.009116143
0.408,-0.006182628
0.4085,-0.007732737
0.409,-0.010467426
0.4095,-0.016269528
0.41,-0.023400572
0.4105,-0.027512505
0.411,-0.025347244
0.4115,-0.020288572
0.412,-0.01798788
0.4125,-0.021950325
0.413,-0.032796829
0.4135,-0.038901537
0.414,-0.03734555
0.4145,-0.033696907
0.415,-0.034158464
0.4155,-0.028701592
0.416,-0.023615908
0.4165,-0.018168288
0.417,-0.014895421
0.4175,-0.010595845
0.418,-0.009862346
0.4185,-0.004023554
0.419,-0.004228641
0.4195,-0.001435113
0.42,0.004309761
0.4205,0.020208767
0.421,0.029277271
0.4215,0.033412509
0.422,0.030322918
0.4225,0.028950883
0.423,0.025605078
0.4235,0.027812298
0.424,0.030132004
0.4245,0.038440445
0.425,0.042059916
0.4255,0.041627155
0.426,0.030567498
0.4265,0.019566663
0.427,0.011954679
0.4275,0.014812876
0.428,0.015114842
0.4285,0.018073097
0.429,0.019853073
0.4295,0.021497308
0.43,0.020264588
0.4305,0.026055929
0.431,0.02941888
0.4315,0.032329506
0.432,0.031747585
0.4325,0.028650142
0.433,0.023102581
0.4335,0.022292492
0.434,0.026404877
0.4345,0.032182104
0.435,0.037202321
0.4355,0.040838072
0.436,0.041300112
0.4365,0.036558312
0.437,0.032051946
0.4375,0.031148461
0.438,0.033241989
0.4385,0.032029388
0.439,0.027548144
0.4395,0.018049502
0.44,0.012961887
0.4405,0.007874725
0.441,0.004944542
0.4415,-0.002677638
0.442,-0.008907253
0.4425,-0.007072225
0.443,0.002133757
0.4435,0.009972429
0.444,0.016440362
0.4445,0.010677856
0.445,-0.000549111
0.4455,-0.011141322
0.446,-0.012907515
0.4465,-0.009658407
0.447,-0.000422933
0.4475,0.005390264
0.448,0.007548687
0.4485,0.002666012
0.449,-0.006593328
0.4495,-0.018335332
0.45,-0.028721819
0.4505,-0.033870661
0.451,-0.033977497
0.4515,-0.031531759
0.452,-0.026534171
0.4525,-0.021650108
0.453,-0.020653933
0.4535,-0.021573193
0.454,-0.024040728
0.4545,-0.025573308
0.455,-0.033608598
0.4555,-0.041584527
0.456,-0.041859324
0.4565,-0.034454811
0.457,-0.027913902
0.4575,-0.018042383
0.458,-0.010855134
0.4585,-0.005815169
0.459,-0.007098387
0.4595,-0.006496571
0.46,-0.007857858
0.4605,0.000599454
0.461,0.011972444
0.4615,0.027053013
0.462,0.029106601
0.4625,0.025833289
0.463,0.014045434
0.4635,0.006110946
0.464,-0.004143826
0.4645,-0.006578696
0.465,-0.011549194
0.4655,-0.010952996
0.466,-0.014785342
0.4665,-0.013829526
0.467,-0.013059257
0.4675,-0.00877542
0.468,-0.013930028
0.4685,-0.022348432
0.469,-0.028525716
0.4695,-0.018801864
0.47,-0.009557586
0.4705,0.000276635
0.471,0.005953458
0.4715,0.011768888
0.472,0.0122813
0.4725,0.013834654
0.473,0.012162319
0.4735,0.013152207
0.474,0.01797681
0.4745,0.032935139
0.475,0.044485648
0.4755,0.046789501
0.476,0.036270265
0.4765,0.02079214
0.477,0.0096198
0.4775,0.004999444
0.478,0.004389447
0.4785,0.006971353
0.479,0.007388097
0.4795,0.007802507
0.48,0.008328303
0.4805,0.00623115
0.481,0.003203157
0.4815,-0.003096181
0.482,-0.012997662
0.4825,-0.020232455
0.483,-0.013452024
0.4835,-0.001369234
0.484,0.008989387
0.4845,0.011859279
0.485,0.007731742
0.4855,0.00257131
0.486,0.002062026
0.4865,0.000106247
0.487,-0.000632585
0.4875,0.002319542
0.488,0.01244975
0.4885,0.019820934
0.489,0.019011928
0.4895,0.009898619
0.49,0.002815408
0.4905,0.000691436
0.491,0.001357048
0.4915,-0.004078136
0.492,-0.009106834
0.4925,-0.008378442
0.493,-0.002597768
0.4935,0.005001522
0.494,0.009896912
0.4945,0.010995109
0.495,0.007655197
0.4955,-0.005145615
0.496,-0.017748299
0.4965,-0.021309174
0.497,-0.022526142
0.4975,-0.025181614
0.498,-0.026953594
0.4985,-0.028368526
0.499,-0.03033811
0.4995,-0.032875357
0.5,-0.03549317
0.5005,-0.037787483
0.501,-0.035348021
0.5015,-0.025382227
0.502,-0.014474286
0.5025,-0.011646188
0.503,-0.015553695
0.5035,-0.021324112
0.504,-0.023821186
0.5045,-0.02433805
0.505,-0.025134503
0.5055,-0.024745491
0.506,-0.018080057
0.5065,-0.011534551
0.507,-0.005508298
0.5075,-0.003052014
0.508,-0.000520317
0.5085,-0.001811995
0.509,-0.002098496
0.5095,-0.006690696
0.51,-0.007238757
0.5105,-0.0078352
0.511,-0.001847907
0.5115,0.002296002
0.512,0.009687563
0.5125,0.012990966
0.513,0.023159792
0.5135,0.0216085
0.514,0.021195477
0.5145,0.019928931
0.515,0.030945057
0.5155,0.031954701
0.516,0.032791629
0.5165,0.02460348
0.517,0.024620639
0.5175,0.018062156
0.518,0.016909375
0.5185,0.012360482
0.519,0.021511325
0.5195,0.029442527
0.52,0.043541895
0.5205,0.040972974
0.521,0.036580782
0.5215,0.024936506
0.522,0.025722131
0.5225,0.017005663
0.523,0.016055545
0.5235,0.013360422
0.524,0.01936019
0.5245,0.019766871
0.525,0.027552454
0.5255,0.028810886
0.526,0.038490838
0.5265,0.041200136
0.527,0.046491928
0.5275,0.042841844
0.528,0.04817049
0.5285,0.048082087
0.529,0.047432951
0.5295,0.035464926
0.53,0.030514573
0.5305,0.025606646
0.531,0.025785142
0.5315,0.021209092
0.532,0.019842172
0.5325,0.016470025
0.533,0.013522605
0.5335,0.007213789
0.534,0.002618644
0.5345,-0.00131243
0.535,2.80579E-05
0.5355,0.00126488
0.536,-0.001528724
0.5365,-0.003468588
0.537,-0.001466865
0.5375,-0.000662394
0.538,-0.001822953
0.5385,0.000767096
0.539,0.002405522
0.5395,0.003856304
0.54,0.002391487
0.5405,-0.000620302
0.541,-0.009637737
0.5415,-0.012253105
0.542,-0.00927541
0.5425,0.000507108
0.543,0.000599956
0.5435,-0.004303939
0.544,-0.014879724
0.5445,-0.015668805
0.545,-0.014101376
0.5455,-0.005495843
0.546,-0.00729057
0.5465,-0.011612514
0.547,-0.020068403
0.5475,-0.018975078
0.548,-0.022811798
0.5485,-0.023389194
0.549,-0.028866543
0.5495,-0.03109114
0.55,-0.037474218
0.5505,-0.035172195
0.551,-0.037645409
0.5515,-0.031947427
0.552,-0.023624751
0.5525,-0.011411501
0.553,-0.009766061
0.5535,-0.00630012
0.554,-0.011178292
0.5545,-0.012740492
0.555,-0.013854799
0.5555,-0.00606785
0.556,4.31409E-05
0.5565,0.005777392
0.557,0.001389312
0.5575,-0.002551517
0.558,-0.004612717
0.5585,-0.00063065
0.559,0.005216822
0.5595,0.011096971
0.56,0.012484479
0.5605,0.010779767
0.561,0.008754945
0.5615,0.005541813
0.562,0.002807758
0.5625,-0.004760817
0.563,-0.014221019
0.5635,-0.021814568
0.564,-0.013786517
0.5645,-0.003949555
0.565,0.004990394
0.5655,0.006232261
0.566,0.01160178
0.5665,0.010160279
0.567,0.012794371
0.5675,0.003040555
0.568,-0.000407064
0.5685,-0.004893876
0.569,0.005235957
0.5695,0.009563194
0.57,0.014528704
0.5705,0.004412559
0.571,0.006299479
0.5715,0.004309802
0.572,0.010774758
0.5725,0.003467971
0.573,0.004276736
0.5735,-0.002619965
0.574,0.006065128
0.5745,0.004982524
0.575,0.01046089
0.5755,0.002847531
0.576,0.004110556
0.5765,-0.012885355
0.577,-0.020541866
0.5775,-0.030338757
0.578,-0.017621291
0.5785,-0.010235429
0.579,0.006920965
0.5795,0.003972998
0.58,0.003989624
0.5805,-0.006862741
0.581,-0.007742808
0.5815,-0.017002307
0.582,-0.009836791
0.5825,-0.004130487
0.583,0.01057839
0.5835,0.008733381
0.584,0.011463033
0.5845,0.008566474
0.585,0.017011529
0.5855,0.01681792
0.586,0.019717251
0.5865,0.007776661
0.587,-0.00064886
0.5875,-0.011592897
0.588,-0.007897153
0.5885,-0.00918892
0.589,-0.006774691
0.5895,-0.011923588
0.59,-0.015422508
0.5905,-0.018579579
0.591,-0.013640961
0.5915,-0.013710954
0.592,-0.01087013
0.5925,-0.007487616
0.593,-0.000775952
0.5935,0.003749592
0.594,0.009433059
0.5945,0.010171762
0.595,0.014144309
0.5955,0.021647937
0.596,0.033740689
0.5965,0.040598121
0.597,0.042433587
0.5975,0.034500319
0.598,0.023911141
0.5985,0.016841527
0.599,0.018362897
0.5995,0.020746994
0.6,0.024914418
0.6005,0.028036656
0.601,0.026218233
0.6015,0.021848324
0.602,0.013698
0.6025,0.004224276
0.603,-0.001956988
0.6035,-0.005921233
0.604,-0.005473266
0.6045,0.005817208
0.605,0.018245917
0.6055,0.026521996
0.606,0.02677043
0.6065,0.024663291
0.607,0.020536088
0.6075,0.022667969
0.608,0.022728052
0.6085,0.023687285
0.609,0.026612011
0.6095,0.036788728
0.61,0.041235493
0.6105,0.042117947
0.611,0.033912148
0.6115,0.028977238
0.612,0.023620603
0.6125,0.028391954
0.613,0.025120521
0.6135,0.02368853
0.614,0.013718762
0.6145,0.011618616
0.615,0.00907432
0.6155,0.013045012
0.616,0.007923553
0.6165,0.006039369
0.617,-0.009136763
0.6175,-0.01884571
0.618,-0.0319242
0.6185,-0.028123078
0.619,-0.027701756
0.6195,-0.012960343
0.62,-0.00911767
0.6205,0.001440144
0.621,-0.002823604
0.6215,-0.002907002
0.622,-0.016938294
0.6225,-0.013474125
0.623,-0.011377355
0.6235,0.006571249
0.624,0.005726115
0.6245,0.007956203
0.625,-0.00462129
0.6255,-0.005462432
0.626,-0.018172944
0.6265,-0.016507574
0.627,-0.023933313
0.6275,-0.015395446
0.628,-0.013692052
0.6285,-0.004953341
0.629,-0.015181784
0.6295,-0.016737219
0.63,-0.03222681
0.6305,-0.038731305
0.631,-0.050920158
0.6315,-0.039160886
0.632,-0.034906527
0.6325,-0.023087797
0.633,-0.023128481
0.6335,-0.015673565
0.634,-0.018379995
0.6345,-0.009767435
0.635,-0.010094299
0.6355,-0.004494783
0.636,-0.007870224
0.6365,0.001103244
0.637,0.00312242
0.6375,0.008627559
